text,project,link,year,type,org
Emmy Nomination,Analysis of protests in Minneapolis with the Washington Post,https://www.washingtonpost.com/graphics/2020/national/live-stream-george-floyd-protests/,2021,individual,Washington Post
World Press Photo’s Interactive of the Year,Analysis of protests in Minneapolis with the Washington Post,https://www.washingtonpost.com/graphics/2020/national/live-stream-george-floyd-protests/,2021,individual,Washington Post
Emmy nomination,We measured pop music’s falsetto obsession,https://www.youtube.com/watch?v=qJT2h5uGAC0),2019,individual,Vox
"Peabody, Digital Journalism",,http://www.peabodyawards.com/award-profile/the-pudding,2017,editorial,The Pudding
Product Hunt’s Best of 2020 Award,How Bad is Your Spotify?,https://pudding.cool/2020/12/judge-my-spotify,2020,individual,The Pudding
"Online Journalism Awards, General Excellence in Online Journalism",,,2019,editorial,The Pudding
"Online Journalism Awards, General Excellence in Online Journalism",,,2023,editorial,The Pudding
"SND, World’s Best Designed Finalist",,,2023,editorial,The Pudding
SND Silver Medal,,,2020,editorial,The Pudding
SND Gold Medal,,,2018,editorial,The Pudding
"Data journalism website of the year, Data Journalism Awards",,,2019,editorial,The Pudding
"Breakthroughs in Storytelling Award, Columbia University School of the Arts’ Digital Storytelling Lab",Structure of Stand-Up Comedy,https://pudding.cool/2018/02/stand-up/,2019,individual,The Pudding
"Studio of the Year, Information is Beautiful Awards",,,2016,client,Polygraph
"Information is Beautiful Awards, Silver",How music taste evolved,https://pudding.cool/projects/music-history/,2016,individual,The Pudding
"Information is Beautiful Awards, Bronze",The Largest Ever Analysis of Film Dialogue by Gender,https://pudding.cool/2017/03/film-dialogue/,2016,individual,The Pudding
"Information is Beautiful Awards, Gold","Rappers, sorted by the size of their vocabulary",https://pudding.cool/projects/vocabulary/index.html,2015,individual,The Pudding
